# Region type : patch inlet
# Faces       : 966
# Area        : 4.891447e+01
# Scale factor: 1.000000e+00
# Time        	sum(rhoPhi)
3.78333       	-5.000000e+04
3.79881       	-5.000000e+04
3.81429       	-5.000000e+04
3.82976       	-5.000000e+04
3.84395       	-5.000000e+04
3.85813       	-5.000000e+04
3.87232       	-5.000000e+04
3.88651       	-5.000000e+04
3.90069       	-5.000000e+04
3.91488       	-5.000000e+04
3.92907       	-5.000000e+04
3.94325       	-5.000000e+04
3.95744       	-5.000000e+04
3.97163       	-5.000000e+04
3.98581       	-5.000000e+04
4             	-5.000000e+04
4.01562       	-5.000000e+04
4.03365       	-5.000000e+04
4.05168       	-5.000000e+04
4.07151       	-5.000000e+04
4.08774       	-5.000000e+04
4.10577       	-5.000000e+04
4.1238        	-5.000000e+04
4.14183       	-5.000000e+04
4.15986       	-5.000000e+04
4.17788       	-5.000000e+04
4.19591       	-5.000000e+04
4.21394       	-5.000000e+04
4.23197       	-5.000000e+04
4.25          	-5.000000e+04
4.26923       	-5.000000e+04
4.28846       	-5.000000e+04
4.30962       	-5.000000e+04
4.33077       	-5.000000e+04
4.35192       	-5.000000e+04
4.37308       	-5.000000e+04
4.39423       	-5.000000e+04
4.41538       	-5.000000e+04
4.43654       	-5.000000e+04
4.45769       	-5.000000e+04
4.47885       	-5.000000e+04
4.5           	-5.000000e+04
4.52083       	-5.000000e+04
4.54167       	-5.000000e+04
4.5625        	-5.000000e+04
4.58333       	-5.000000e+04
4.60417       	-5.000000e+04
4.625         	-5.000000e+04
4.64583       	-5.000000e+04
4.66319       	-5.000000e+04
4.6849        	-5.000000e+04
4.7066        	-5.000000e+04
4.7283        	-5.000000e+04
4.75          	-5.000000e+04
4.76786       	-5.000000e+04
4.78571       	-5.000000e+04
4.80357       	-5.000000e+04
4.82143       	-5.000000e+04
4.84127       	-5.000000e+04
4.86111       	-5.000000e+04
4.87847       	-5.000000e+04
4.89583       	-5.000000e+04
4.91319       	-5.000000e+04
4.93056       	-5.000000e+04
4.94792       	-5.000000e+04
4.96528       	-5.000000e+04
4.98264       	-5.000000e+04
5             	-5.000000e+04
5.01923       	-5.000000e+04
5.03846       	-5.000000e+04
5.05769       	-5.000000e+04
5.07692       	-5.000000e+04
5.09615       	-5.000000e+04
5.11538       	-5.000000e+04
5.13462       	-5.000000e+04
5.15385       	-5.000000e+04
5.17308       	-5.000000e+04
5.19231       	-5.000000e+04
5.21154       	-5.000000e+04
5.23077       	-5.000000e+04
5.25          	-5.000000e+04
5.26786       	-5.000000e+04
5.28571       	-5.000000e+04
5.30519       	-5.000000e+04
5.32684       	-5.000000e+04
5.35158       	-5.000000e+04
5.37278       	-5.000000e+04
5.39822       	-5.000000e+04
5.41858       	-5.000000e+04
5.43893       	-5.000000e+04
5.45929       	-5.000000e+04
5.47964       	-5.000000e+04
5.5           	-5.000000e+04
5.52273       	-5.000000e+04
5.54798       	-5.000000e+04
5.57043       	-5.000000e+04
5.59608       	-5.000000e+04
5.62173       	-5.000000e+04
5.64739       	-5.000000e+04
5.67304       	-5.000000e+04
5.69869       	-5.000000e+04
5.72435       	-5.000000e+04
5.73717       	-5.000000e+04
5.75          	-5.000000e+04
5.76562       	-5.000000e+04
5.78365       	-5.000000e+04
5.80529       	-5.000000e+04
5.82963       	-5.000000e+04
5.85397       	-5.000000e+04
5.88317       	-5.000000e+04
5.91238       	-5.000000e+04
5.94159       	-5.000000e+04
5.97079       	-5.000000e+04
6             	-5.000000e+04
6.03125       	-5.000000e+04
6.05859       	-5.000000e+04
6.08594       	-5.000000e+04
6.11328       	-5.000000e+04
6.14062       	-5.000000e+04
6.16797       	-5.000000e+04
6.19531       	-5.000000e+04
6.22266       	-5.000000e+04
6.25          	-5.000000e+04
6.28125       	-5.000000e+04
6.3125        	-5.000000e+04
6.34375       	-5.000000e+04
6.375         	-5.000000e+04
6.40625       	-5.000000e+04
6.4375        	-5.000000e+04
6.46875       	-5.000000e+04
6.5           	-5.000000e+04
6.53125       	-5.000000e+04
6.5625        	-5.000000e+04
6.59375       	-5.000000e+04
6.625         	-5.000000e+04
6.65          	-5.000000e+04
6.675         	-5.000000e+04
6.7           	-5.000000e+04
6.725         	-5.000000e+04
6.75          	-5.000000e+04
6.775         	-5.000000e+04
6.8           	-5.000000e+04
6.82857       	-5.000000e+04
6.85306       	-5.000000e+04
6.88245       	-5.000000e+04
6.91184       	-5.000000e+04
6.94122       	-5.000000e+04
6.96082       	-5.000000e+04
6.98041       	-5.000000e+04
7             	-5.000000e+04
7.02273       	-5.000000e+04
7.04167       	-5.000000e+04
7.0625        	-5.000000e+04
7.08125       	-5.000000e+04
7.1           	-5.000000e+04
7.12143       	-5.000000e+04
7.14714       	-5.000000e+04
7.16771       	-5.000000e+04
7.18829       	-5.000000e+04
7.20886       	-5.000000e+04
7.22943       	-5.000000e+04
7.25          	-5.000000e+04
7.26786       	-5.000000e+04
7.28896       	-5.000000e+04
7.31241       	-5.000000e+04
7.33117       	-5.000000e+04
7.35227       	-5.000000e+04
7.37689       	-5.000000e+04
7.39057       	-5.000000e+04
7.4062        	-5.000000e+04
7.42496       	-5.000000e+04
7.44998       	-5.000000e+04
7.46248       	-5.000000e+04
7.47499       	-5.000000e+04
7.48749       	-5.000000e+04
7.5           	-5.000000e+04
7.51471       	-5.000000e+04
7.53151       	-5.000000e+04
7.54517       	-5.000000e+04
7.55797       	-5.000000e+04
7.57274       	-5.000000e+04
7.59047       	-5.000000e+04
7.61041       	-5.000000e+04
7.63367       	-5.000000e+04
7.65694       	-5.000000e+04
7.68796       	-5.000000e+04
7.71898       	-5.000000e+04
7.75          	-5.000000e+04
7.78571       	-5.000000e+04
7.81633       	-5.000000e+04
7.84694       	-5.000000e+04
